貌似 貌像 貌比 似似 似乎 似是 好似 好像 好乎 或似 或乎 或像 当似 当然 当像 就 会 似
炒鸡 炒的 炒当 超级 超常 超超 特别 特级 特常 非常 非别 非级 是很 是好 是超 很 超 好
颠簸 颠驶 颠荡 翻簸 翻滚 翻转 惊簸 惊慌 惊抖 摇簸 摇晃 摇荡 艰簸 艰辛 艰忙 簸 晃 驶
矮油 矮水 矮蛋 小油 小偷 小弟 这油 这不 这妞 哈哈 哈油 哈啦 卧油 卧槽 卧米 油 哎 哇
彼此 彼彼 彼相 互此 互相 互不 相互 相此 相相 各自 各此 各种 此此 此彼 此相 死 不 相
纵然 纵虽 纵因 正因 正是 正面 尽管 尽然 尽便 虽然 虽是 虽虽 即然 即使 即便 正 也 虽
愕然 愕异 愕眼 惊讶 惊然 惊愕 诧然 诧异 诧讶 震然 震惊 震撼 怔然 怔愣 怔了 然 愕 笑
惊愕 惊讶 惊异 讶愕 讶惊 讶讶 愕愕 愕讶 愕然 震愕 震惊 震讶 诧异 诧愕 诧讶 愕 讶 惊
仓惶 仓慌 仓惴 慌惶 慌慌 慌急 紧张 紧急 紧慌 急惶 急急 急慌 惶惶 惶慌 惶恐 慌 惶 我
僻静 僻僻 僻淡 偏僻 偏远 偏静 避静 避风 避人 安静 安逸 安谧 幽静 幽僻 幽幽 静 僻 好
平庸 平凡 平衡 贫庸 贫穷 贫俗 普庸 普通 普平 低庸 低俗 低调 庸庸 庸俗 庸平 庸 平 俗
伶俐 伶明 伶锐 聪明 聪俐 聪慧 俐俐 俐明 俐智 敏俐 敏锐 敏敏 明俐 明智 明快 俐 伶 笨
黯淡 黯澹 黯黯 暗淡 暗黯 暗暗 淡淡 淡黄 淡黯 灿淡 灿亮 灿烂 明亮 明媚 明黄 淡 黯 暗
魁梧 魁壮 魁大 健硕 健壮 健康 肥梧 肥壮 肥硕 矮梧 矮壮 矮大 臃梧 臃肿 臃壮 瘦 梧 矮
喧闹 喧乱 喧忙 嘈闹 嘈杂 嘈乱 繁闹 繁华 繁忙 闹闹 闹吵 闹乱 吵闹 吵吵 吵乱 闹 我 喧
缜密 缜细 缜真 认真 认入 认细 仔细 仔真 仔复 慎密 慎真 慎细 细致 细心 细细 了 再 一
轻盈 轻轻 轻柔 庄盈 庄重 庄庄 优盈 优雅 优闲 缓盈 缓轻 缓和 灵盈 灵雅 灵润 轻 稳 盈
丰腴 丰硕 丰盈 肥腴 肥胖 肥满 修腴 修盈 修健 优腴 优雅 优美 娇腴 娇满 娇盈 丰 腴 肥
巍峨 巍巍 巍伟 神秘 神奇 神圣 美丽 美好 美妙 蜿蜒 蜿延 蜿蜓 雄伟 雄奇 雄峨 巍 美 高
璀璨 璀烂 璀亮 灿灿 灿烂 灿璨 闪烁 闪闪 闪耀 耀眼 耀目 耀璨 璨璨 璨眼 璨烂 璨 星 灿
凌厉 凌劲 凌冽 强烈 强劲 强势 沉着 沉著 沉稳 凛厉 凛劲 凛峻 轻厉 轻快 轻缓  猛 劲
褴褛 褴袄 褴 破褛 破烂 破破 慷褛 慷薄 慷烂 整褛 整破 整薄 褛褛 褛褴 褛烂 褛 穿 褴
耿直 耿实 耿达 爽直 爽朗 爽实 直直 直诚 直爽 正直 正义 正气 执直 执着 执诚 耿 直 好
狰狞 狰狰 狰陋 狞狞 狞狰 狞恶 惊狞 惊人 惊险 凶狞 凶恶 凶狰 丑狞 丑陋 丑恶 狞 狰 恶
落寞 落魄 落寂 寂寞 寂寥 寂寂 失寞 失落 失败 伤寞 伤世 伤寂 郁闷 郁寞 郁郁 愁 寞 落
孤寂 孤寞 孤疏 寂寂 寂寞 寂独 凄寂 凄凉 凄寞 沉寂 沉寞 沉沉 冷寂 冷寞 冷漠 寂 孤 情
闲暇 闲余 闲闲 休息 休闲 休暇 业余 业暇 业馀 空闲 空余 空暇 散暇 散闲 散遣 的 闲 有
谦恭 谦虚 谦逊 正直 正派 正义 友善 友好 友和 宽容 宽和 宽厚 热情 热心 热忱 好 孝 直
跋扈 跋张 跋肆 猖扈 猖狂 猖张 暴戾 暴躁 暴行 野心 野蛮 野性 嚣张 嚣扈 嚣狂 强 的 大
谦逊 谦谦 谦和 尊敬 尊重 尊逊 敬逊 敬畏 敬和 高尚 高贵 高高 自谦 自卑 自己 爱 他 谦
传神 传奇 传深 精神 精致 精确 感人 感神 感情 发神 发展 发情 飘神 飘人 飘致 的 神 化
精壮 精瘦 精细 粗壮 粗犷 粗粗 壮壮 壮大 壮硕 健壮 健硕 健康 坚壮 坚健 坚瘦 壮 瘦 精
矫健 矫劲 矫重 健健 健硕 健壮 轻盈 轻轻 轻健 稳健 稳定 稳稳 敏健 敏捷 敏感 她 他 健
敦实 敦実 敦着 憨实 憨厚 憨硕 瘦小 瘦实 瘦胖 老实 老成 老迈 踏实 踏脚 踏着 实 老 壮
阔绰 阔裕 阔壮 富裕 富有 富绰 宽绰 宽容 宽裕 豪绰 豪华 豪裕 酷绰 酷炫 酷酷 阔 穷 富
馥郁 馥然 馥香 浓郁 浓馥 浓烈 芬郁 芬香 芬馥 芳郁 芳香 芳馥 甜郁 甜醇 甜香 郁 那 这
醇厚 醇郁 醇重 浓厚 浓醇 浓郁 清厚 清醇 清浓 厚厚 厚醇 厚重 香厚 香醇 香浓 醇 厚 浓
优渥 优越 优惠 富裕 富有 富贵 高贵 高了 高越 丰厚 丰富 丰足 艰苦 艰难 艰辛 好 高 多
蹩脚 蹩 蹩足 残脚 残劣 残薄 笨脚 笨拙 笨笨 抽脚 抽象 抽杂 瘸脚 瘸脑 瘸流 脚 糟 好
卑劣 卑弱 卑恶 愚劣 愚昧 愚蠢 恶劣 恶毒 恶恶 残劣 残忍 残酷 可劣 可恶 可耻 坏 贱 恶
工整 工笔 工好 规整 规范 规则 漂亮 漂整 漂看 好整 好看 好呢 笔整 笔利 笔画 工 好 错
肤浅 肤薄 肤深 深浅 深厚 深薄 浅浅 浅薄 浅淡 狭浅 狭窄 狭小 薄浅 薄薄 薄弱 浅 薄 深
斐然 斐身 斐异 卓著 卓越 卓然 突然 突出 突著 显著 显赫 显然 优异 优秀 优良 高 斐 好
稀罕 稀少 稀有 罕有 罕罕 罕见 珍罕 珍贵 珍稀 奢罕 奢贵 奢有 难得 难见 难贵 贵 稀 好
颀长 颀壮 颀重 壮硕 壮梧 壮大 苗条 苗长 苗细 修长 修美 修满 肥胖 肥硕 肥壮 长 胖 壮
魁梧 魁壮 魁大 肥胖 肥硕 肥瘦 健硕 健梧 健壮 臃梧 臃肿 臃壮 瘦小 瘦弱 瘦胖 好 壮 瘦
凄咽 凄惨 凄怨 哽咽 哽哑 哽噎 委屈 委婉 委怨 幽咽 幽隐 幽哑 惨惨 惨凄 惨绝 的 哭 们
急遽 急剧 急速 迅遽 迅速 迅剧 陡然 陡剧 陡速 突然 突遽 突速 立即 立刻 立时 急 遽 骤
和煦 和润 和媚 温暖 温煦 温柔 美丽 美好 美妙 热煦 热热 热暖 柔和 柔煦 柔暖 和 新 爱
姣好 姣美 姣善 美好 美丽 美美 完美 完好 完整 良好 良妙 良姣 娇好 娇美 娇俏 好 姣 美
粗劣 粗钝 粗坏 糟劣 糟糕 糟了 很差 很好 很脆 差劣 差了 差劲 不好 不错 不行 差 粗 好
煞白 煞黑 煞青 白白 白煞 白了 下白 下沉 下降 惨白 惨黑 惨煞 黑白 黑了 黑暗 煞 白 黑
别致 别特 别直 独致 独特 独到 异致 异目 异特 另致 另特 另类 不致 不同 不凡 别 的 性
独到 独特 独彻 立到 立特 立彻 深到 深特 深刻 唯到 唯特 唯致 到到 到位 到特 到 独 深
上乘 上游 上好 优良 优质 优秀 可乘 可靠 可观 保乘 保证 保良 稳定 稳乘 稳好 好 上 高
拗口 拗嘴 拗气 难记 难听 难读 无味 无趣 无力 生疏 生气 生厌 不好 不对 不顺 难 累 慢
空泛 空阔 空广 虚泛 虚虚 虚空 荒泛 荒广 荒诞 广泛 广阔 广广 深泛 深广 深入 空 泛 广
在理 在意 在里 再理 再对 再好 好理 好听 好了 不错 不理 不对 真理 真的 真实 对 好 在
将就 将取 将还 失去 失望 失败 难就 难受 难成 相就 相亲 相处 快就 快乐 快来 将 就 倒
活络 活动 活塞 灵活 灵动 灵滑 运动 运转 运行 润滑 润损 润油 有孔 有损 有力 动 死 活
熟稔 熟悉 熟熟 陌生 陌悉 陌稔 喜欢 喜悉 喜稔 习悉 习稔 习惯 疏稔 疏悉 疏熟 熟 稔 悉
缱绻 缱缱 缱缕 妩绻 妩绵 妩婉 绵绻 绵绵 绵朗 依绻 依然 依旧 婉绻 婉缱 婉婉 的 ， 很
祥和 祥谐 祥或 和谐 和和 和平 平和 平稳 平淡 温和 温馨 温暖 舒和 舒适 舒谐 祥 ， 的
周详 周细 周全 细致 细细 细详 严细 严密 严谨 详细 详尽 详致 缜详 缜堪 缜细 周 的 详
丰硕 丰厚 丰实 重要 重大 重点 研究 研发 研讨 优秀 优质 优异 获得 获取 获硕 新 的 其
可憎 可恨 可怜 不憎 不堪 不善 邪憎 邪恶 邪恨 恶憎 恶恶 恶恨 无憎 无知 无厌 憎 恶 恨
碍眼 碍人 碍目 可怕 可惜 可爱 难看 难找 难见 好看 好用 好扔 过眼 过分 过头 脏 乱 少
蹊跷 蹊张 蹊妙 秘密 秘跷 秘诀 玄机 玄妙 玄密 奇跷 奇妙 奇怪 关系 关跷 关键 事 跷 人
诡秘 诡异 诡祕 怪秘 怪异 怪奇 奇秘 奇怪 奇异 神秘 神异 神奇 突然 突异 突来 出 性 人
不济 不经 不善 贫困 贫济 贫穷 困难 困济 困穷 没济 没钱 没经 未济 未来 未婚 济 经 世
枉然 枉了 枉言 徒劳 徒然 徒白 白费 白然 白白 错然 错的 错了 虚然 虚空 虚妄 空 枉 虚
服帖 服贴 服服 舒帖 舒适 舒服 适合 适适 适当 稳帖 稳固 稳定 轻便 轻重 轻松 好 服 像
歹毒 歹险 歹恶 恶毒 恶心 恶恶 残毒 残忍 残暴 善毒 善良 善恶 奇毒 奇臭 奇险 毒 恶 她
暴虐 暴恶 暴暴 残虐 残暴 残蛮 爆虐 爆炸 爆残 狂虐 狂暴 狂恶 惨虐 惨暴 惨残 恶 坏 好
怯懦 怯弱 怯怯 懦弱 懦怯 懦懦 脆弱 脆小 脆强 弱弱 弱小 弱懦 软弱 软萌 软软 懦 弱 好
聪颖 聪明 聪聪 笨颖 笨钝 笨拙 卓越 卓颖 卓异 敏颖 敏捷 敏慧 智颖 智慧 智明 聪 笨 好
龌龊 龌蹉 龌龌 肮龊 肮脏 肮贱 猥琐 猥龊 猥亵 龊龊 龊秽 龊龌 尴龊 尴尬 尴尴 龊 蠢 龌
式微 式落 式弱 趋微 趋弱 趋淡 规微 规弱 规律 模微 模弱 模式 退微 退弱 退步 微 弱 式
无恙 无病 无事 有恙 有病 有事 不恙 不愁 不安 平安 平稳 平卧 安恙 安康 安祥 无 。 好
称心 称意 称身 轻心 轻松 轻情 身心 身怀 身身 放心 放松 放眼 充心 充分 充份 心 最 了
皎洁 皎亮 皎净 朦胧 朦朦 朦洁 璀璨 璀洁 璀亮 简洁 简明 简丽 美丽 美好 美妙 它 新 爱
招牌 招手 招式 传牌 传统 传手 特色 特牌 特别 挂牌 挂名 挂面 标牌 标手 标准 招 名 牌
急切 急急 急躁 激切 激动 激急 紧切 紧张 紧迫 迫切 迫迫 迫逼 热切 热烈 热情 急 切 样
婀娜 婀婷 婀美 袅娜 袅婷 袅袅 柔娜 柔美 柔丽 美丽 美艳 美娜 窈娜 窈窕 窈丽 很 最 挺
空阔 空广 空旷 广阔 广袤 广广 遥远 遥阔 遥遥 荒旷 荒野 荒芜 无际 无边 无涯 空 你 我
特殊 特有 特别 神秘 神奇 神话 另类 另一 另外 可能 可考 可疑 类似 类同 类推 言之凿凿 说之凿凿 实之凿凿 语之凿凿 无可争议
稠密 稠疏 稠重 稀密 稀疏 稀少 密集 密稠 密密 繁密 繁集 繁盛 集密 集中 集散 多 稠 密
狡黠 狡猾 狡诈 聪黠 聪明 聪慧 幽默 幽黠 幽智 睿智 睿黠 睿察 敏锐 敏捷 敏感 ， 、 狡
给力 给劲 给面 强力 强势 强劲 有力 有劲 有用 稳定 稳力 稳健 过力 过硬 过分 强 好 大
酱紫 酱红 酱黄 紫红 紫黑 紫蓝 蓝紫 蓝绿 蓝红 橙黄 橙红 橙紫 桔红 桔黄 桔紫 紫 酱 橙
开心 开玩 开脱 无奈 无语 无聊 可爱 可怕 可怜 难受 难过 难熬 高兴 高冷 高傲 忙 闲 嗨
捉急 捉心 捉紧 抓心 抓人 抓眼 重要 重大 重重 紧急 紧张 紧要 纠结 纠急 纠心 急 难 好
好滴 好的 好哒 嗯嗯 嗯呐 嗯哼 哈哈 哈喽 哈嗯 嘿嘿 嘿嗯 嘿呀 别急 别的 别等 好 嗯 恩
131##4 131##6 131##8 幸福 幸运 幸利 开心 开年 开春 快乐 快活 快点 顺利 顺吉 顺99 生生快乐 一路走好 万年好运 幸福美好 131##4131##4
鸡动 鸡鸣 鸡静 可爱 可怕 可以 激动 激情 激爽 心动 心累 心塞 好气 好爽 好心 鸡 动 想
非懂 非读 非学 似懂 似解 似通 未懂 未读 未知 不懂 不通 不会 其懂 其他 其中 似懂非懂 非懂非懂 不懂非懂 易懂易懂 像懂非懂
打紧 打急 打疼 不紧 不打 不疼 时紧 时张 时刻 没事 没有 没紧 停紧 停不 停住
无恙 无事 无险 安然 安全 安好 平安 平然 平了 如水 如是 如此 幸福 幸运 幸恙 安然无恙 平然无恙 无然无恙 自然无恙 不然无恙
葱茏 葱郁 葱葱 繁茂 繁盛 繁荣 丰茏 丰美 丰茂 苍茏 苍郁 苍葱 茂盛 茂密 茂茂 茂 葱 茏
蓬松 蓬密 蓬散 闪松 闪亮 闪光 细腻 细柔 细软 茸茸 茸松 茸密 光秃 光滑 光亮 松 蓬 细
真挚 真切 真实 深挚 深厚 深深 坚挚 坚实 坚强 纯粹 纯真 纯挚 温挚 温柔 温暖 真 挚 深
崎岖 崎曲 崎阻 陡峭 陡岖 陡险 狭岖 狭窄 狭长 险峻 险恶 险重 艰难 艰岖 艰险 陡 窄 多
豪迈 豪扬 豪捷 奋迈 奋勇 奋力 愉迈 愉扬 愉越 励迈 励志 励美 辉迈 辉煌 辉丽 豪 美 迈
肃静 肃定 肃稳 静静 静谧 静寂 寂静 寂寂 寂谧 幽静 幽幽 幽寂 苍静 苍净 苍翠 静 人 动
诚恳 诚挚 诚诚 严谨 严恳 严肃 真恳 真诚 真挚 谨恳 谨慎 谨挚 深恳 深诚 深切 诚 深 好
典雅 典丽 典美 优雅 优美 优丽 雅致 雅丽 雅庄 美丽 美雅 美奂 婉雅 婉约 婉致 典 雅 了
古朴 古老 古旧 真正 真实 真挚 纯白 纯净 纯正 原来 原有 原本 清丽 清朴 清正 新 旧 他
澄澈 澄清 澄彻 浑澈 浑清 浑浊 透澈 透澄 透透 湛澈 湛邃 湛清 朦澈 朦胧 朦然 澈 澄 清
喧闹 喧乱 喧嚣 嚣闹 嚣乱 嚣嚣 嘈闹 嘈乱 嘈挤 闹闹 闹乱 闹吵 吵闹 吵乱 吵忙 闹 喧 热
聪慧 聪明 聪智 敏慧 敏捷 敏感 智慧 智明 智智 灵敏 灵活 灵巧 可爱 可人 可怜 聪 ， 慧
黯然 黯郁 黯伤 怅惘 怅然 怅惆 惆怅 惆伤 惆凉 心伤 心疼 心痛 凄然 凄凉 凄伤 黯然神伤 心神黯然 怆然神伤 伤然神伤 暗然神伤
狂喜 狂欢 狂恐 疯喜 疯狂 疯情 骄傲 骄喜 骄妄 惊喜 惊恐 惊讶 猛喜 猛烈 猛恐 喜 狂 爱
遗忘 遗弃 遗落 忘记 忘忘 忘了 消忘 消失 消弃 掩忘 掩埋 掩没 抛忘 抛弃 抛记 忘 遗 记
愉悦 愉快 愉乐 悦悦 悦快 悦人 畅悦 畅快 畅愉 喜悦 喜快 喜欢 快悦 快乐 快快 悦 愉 快
极品 极美 极点 绝品 绝级 绝号 超品 超级 超萌 最品 最终 最级 终品 终极 终级 坏 真 品
放宽 放开 放阔 扩大 扩展 扩宽 开宽 开阔 开窄 拓宽 拓展 拓大 宽放 宽大 宽宽 放 宽 扩
棘手 棘肋 棘心 困难 困惑 困苦 艰难 艰巨 艰辛 重要 重大 重重 危险 危难 危重 大 难 多
火辣 火热 火烈 炙热 炙辣 炙人 红红 红辣 红热 炽热 炽烈 炽灼 热热 热烈 热辣
莫名 莫妙 莫兀 奇妙 奇怪 奇葩 诡异 诡名 诡秘 无语 无情 无聊 神奇 神剧 神名 莫名其妙 无名其妙 不名其妙 阴名其妙 难名其妙
利索 利物 利利 灵捷 灵活 灵索 节索 节约 节爽 简单 简洁 简索 细索 细爽 细确 利 性 的
凄惨 凄苦 凄凄 悲惨 悲凄 悲苦 惨惨 惨凄 惨凉 残惨 残酷 残忍 糟惨 糟糕 糟糟 惨 凄 的
滚圆 滚亮 滚大 圆圆 圆亮 圆眼 很圆 很大 很长 晃圆 晃亮 晃开 溜圆 溜亮 溜溜 圆 亮 大
斯理 斯里 斯的 慢条 慢慢 慢行 一条 一群 一些 这些 这样 这种 那些 那条 那群 慢条斯理 快条斯理 缓条斯理 松条斯理 细条斯理
烦躁 烦闷 烦恼 浮躁 浮动 浮燥 狂躁 狂燥 狂烈 敏躁 敏感 敏烈 繁躁 繁燥 繁闷 躁 烦 急
可爱 可甜 可笑 憨的 憨憨 憨气 好看 好的 好笑 甜的 甜了 甜蜜 暖心 暖人 暖的 甜 憨 萌
浩瀚 浩茫 浩荡 宏瀚 宏大 宏阔 悠瀚 悠久 悠远 茫瀚 茫茫 茫渺 伟瀚 伟大 伟阔 大 瀚 总
魁梧 魁大 魁肿 健梧 健硕 健壮 臃梧 臃肿 臃壮 丰梧 丰硕 丰腴 骄梧 骄傲 骄大 矮 高 瘦
刚毅 刚健 刚忍 坚毅 坚韧 坚忍 正毅 正刚 正直 勇毅 勇敢 勇强 拼毅 拼搏 拼韧 毅 刚 韧
伶俐 伶利 伶妙 睿智 睿慧 睿敢 敏俐 敏捷 敏感 俐俐 俐利 俐伶 漂俐 漂亮 漂丽 ， 伶 俐
荒蛮 荒谬 荒暴 野蛮 野放 野懒 丰蛮 丰饶 丰富 狂蛮 狂暴 狂猛 凶蛮 凶猛 凶暴 荒 新 人
渴盼 渴望 渴待 希盼 希望 希冀 期盼 期待 期望 憧盼 憧憬 憧待 爱盼 爱望 爱意 盼 爱 渴
广州 广东 广帮 江苏 江南 江浙 上海 上扬 上京 东北 东方 东京 南方 南北 南京 沪 上 川
甜蜜 甜甜 甜腻 美好 美丽 美甜 蜜蜜 蜜甜 蜜糖 幸蜜 幸福 幸甜 奢蜜 奢甜 奢福 甜 我 美
端庄 端正 端齐 贵重 贵族 贵丽 严庄 严肃 严重 正式 正装 正宗 昂贵 昂价 昂华 庄 贵 新
标致 标至 标目 精致 精神 精壮 优致 优雅 优美 漂致 漂亮 漂丽 雅致 雅淑 雅庄 很 小 不
崭新 崭旧 崭生 新奇 新的 新生 全新 全奇 全球 奇新 奇怪 奇异 未知 未来 未生 新 旧 别
搜索 搜寻 搜集 寻找 寻索 寻寻 探索 探测 探寻 找索 找寻 找到 追索 追寻 追踪 搜 找 玩
慎重 慎轻 慎要 谨慎 谨重 谨谨 严重 严谨 严慎 轻重 轻松 轻轻 庄重 庄谨 庄肃 慎 轻 笨
人迹 人烟 人踪 罕至 罕见 罕有 神秘 神奇 神祕 荒芜 荒凉 荒漠 遗失 遗秘 遗迹 人迹罕至 无人可及 不为人知 光迹罕至 入迹罕至
鼎沸 鼎盛 鼎起 人声 人潮 人气 沸沸 沸闹 沸腾 静静 静谧 静寂 盛闹 盛大 盛华 人声鼎沸 热闹非凡 沸声鼎沸 喧声鼎沸 名声鼎沸
徘徊 徘徨 徘延 踌徊 踌躇 踌徨 徊徊 徊徨 徊躅 迷茫 迷徊 迷惘 摇徊 摇摆 摇徨 走 哭 想
